x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,y
15180,48,-72,-72,0,0,0,0,0,0,0,0,0,0,0,N
14720,33,-70,-79,1,0,1,0,0,0,0,0,2000,2000,0,N
8050,30,-81,-78,0,0,0,0,0,0,0,0,0,0,0,N
28820,171,-23,40,1,0,1,0,0,0,0,0,3000,3000,0,N
12640,57,-63,-52,0,0,0,0,0,0,0,0,0,0,0,N
63760,195,-73,-65,0,0,0,0,0,0,0,0,0,0,0,W
207930,614,-6,18,2,2,0,0,0,0,0,0,1000,700,0,W
48990,194,-27,-3,1,0,1,0,0,0,0,0,4000,4000,0,N
100190,303,54,52,0,0,0,0,0,0,0,0,0,0,0,N
247620,675,4,25,1,1,0,0,0,0,0,0,500,500,0,W
41950,135,-39,-36,1,0,1,0,0,0,0,0,5000,5000,0,N
53250,140,-19,-31,0,0,0,0,0,0,0,0,0,0,0,N
166180,448,-30,-19,1,1,0,0,0,0,0,0,400,400,0,W
64540,215,0,9,1,0,1,0,0,0,0,0,6000,6000,0,N
75670,207,18,4,1,1,0,0,0,0,0,0,600,600,0,N
225040,575,-3,5,2,0,2,0,0,0,0,0,7000,6000,0,W
31290,117,-52,-41,0,0,0,0,0,0,0,0,0,0,0,N
22890,81,-63,-58,0,0,0,0,0,0,0,0,0,0,0,N
13170,59,-77,-67,0,0,0,0,0,0,0,0,0,0,0,N
8900,38,-83,-77,0,0,0,0,0,0,0,0,0,0,0,N
13250,32,-71,-79,0,0,0,0,0,0,0,0,0,0,0,N
11710,70,-72,-47,1,0,1,0,0,0,0,0,4000,4000,0,N
10640,62,-68,-43,0,0,0,0,0,0,0,0,0,0,0,N
45630,155,49,52,0,0,0,0,0,0,0,0,0,0,0,N
424650,1069,1,7,2,0,2,0,0,0,0,0,6000,4000,0,W
38820,213,-82,-57,1,0,1,0,0,0,0,0,4000,4000,0,N
56960,200,-70,-58,0,0,0,0,0,0,0,0,0,0,0,N
212260,729,-50,-28,2,1,1,0,0,0,0,0,1400,1000,0,W
42950,172,-76,-61,1,0,1,0,0,0,0,0,6000,6000,0,N
172290,437,-57,-55,1,1,0,0,0,0,0,0,600,600,0,W
395110,1043,46,40,3,0,3,0,0,0,0,0,6000,2000,0,W
51320,239,11,23,1,0,1,0,0,0,0,0,6000,6000,0,N
144880,361,-46,-52,1,0,1,0,0,0,0,0,2000,2000,0,W
477750,1132,86,60,3,3,0,0,0,0,0,0,1500,600,0,W
71840,255,54,28,1,0,1,0,0,0,0,0,6000,6000,0,N
127360,351,-54,-53,1,1,0,0,0,0,0,0,700,700,1,W
514800,1369,95,94,7,4,2,1,0,0,0,0,15700,10000,0,W
69440,266,41,30,0,0,0,0,0,0,0,0,0,0,0,N
28460,117,-45,-45,0,0,0,0,0,0,0,0,0,0,0,N
23220,112,-53,-45,0,0,0,0,0,0,0,0,0,0,0,N
16630,81,-65,-59,0,0,0,0,0,0,0,0,0,0,0,N
8750,47,-80,-75,0,0,0,0,0,0,0,0,0,0,0,N
20150,64,-51,-62,1,0,1,0,0,0,0,0,5000,5000,0,N
15590,82,-59,-48,0,0,0,0,0,0,0,0,0,0,0,N
102720,265,-64,-66,2,1,1,0,0,0,0,0,2700,2000,0,W
250030,687,-8,-5,0,0,0,0,0,0,0,0,0,0,0,W
39510,204,12,40,1,0,1,0,0,0,0,0,5000,5000,0,N
64200,198,86,35,1,1,0,0,0,0,0,0,500,500,0,N
309010,983,15,38,2,1,1,0,0,0,0,0,1800,1000,0,W
59060,264,65,85,1,0,1,0,0,0,0,0,6000,6000,0,N
66510,215,93,50,1,1,0,0,0,0,0,0,300,300,0,N
248900,739,-9,0,1,1,0,0,0,0,0,0,400,400,0,W
51620,186,51,34,1,0,1,0,0,0,0,0,7000,7000,0,N
45150,140,24,-4,0,0,0,0,0,0,0,0,0,0,0,N
